CLIENT_ID,SURVEY_ID,SERV_TYPE,UNIQUE_ID,VAR_NAME,RESPONSE
8599,7444927729,IZ0101,1031920654,I1,4
8599,7444927729,IZ0101,1031920654,I4,3
8599,7444927729,IZ0101,1031920654,I5,3
8599,7444927729,IZ0101,1031920654,I6,3
8599,7444927729,IZ0101,1031920654,M2,3
8599,7444927729,IZ0101,1031920654,M3,3
8599,7444927729,IZ0101,1031920654,N3,4
8599,7444927729,IZ0101,1031920654,N4,4
8599,7444927729,IZ0101,1031920654,N5,4
8599,7444927729,IZ0101,1031920654,O2,4
8599,7444927729,IZ0101,1031920654,O3,5
8599,7444927729,IZ0101,1031920654,O4,5
8599,7444927729,IZ0101,1031920654,P1,3
8599,7444927729,IZ0101,1031920654,P2,3
8599,7444927729,IZ0101,1031920654,P3,4
8599,7444927729,IZ0101,1031920654,R3,4
8599,7444927729,IZ0101,1031920654,R4,3
8599,7444927729,IZ0101,1031920654,CMS_1,Always
8599,7444927729,IZ0101,1031920654,CMS_10,Usually
8599,7444927729,IZ0101,1031920654,CMS_11,Usually
8599,7444927729,IZ0101,1031920654,CMS_12,Yes
8599,7444927729,IZ0101,1031920654,CMS_13,Sometimes
8599,7444927729,IZ0101,1031920654,CMS_13CL,Sometimes
8599,7444927729,IZ0101,1031920654,CMS_19,Sometimes
8599,7444927729,IZ0101,1031920654,CMS_19CL,Sometimes
8599,7444927729,IZ0101,1031920654,CMS_2,Usually
8599,7444927729,IZ0101,1031920654,CMS_21,Yes
8599,7444927729,IZ0101,1031920654,CMS_21CL,Yes
8599,7444927729,IZ0101,1031920654,CMS_22,No
8599,7444927729,IZ0101,1031920654,CMS_22CL,No
8599,7444927729,IZ0101,1031920654,CMS_23,9
8599,7444927729,IZ0101,1031920654,CMS_24,Definitely yes
8599,7444927729,IZ0101,1031920654,CMS_25,Fair
8599,7444927729,IZ0101,1031920654,CMS_26,Good
8599,7444927729,IZ0101,1031920654,CMS_27,4+ yrs college
8599,7444927729,IZ0101,1031920654,CMS_28,Not Span/Hisp/La
8599,7444927729,IZ0101,1031920654,CMS_29A,Yes
8599,7444927729,IZ0101,1031920654,CMS_29B,No
8599,7444927729,IZ0101,1031920654,CMS_29C,No
8599,7444927729,IZ0101,1031920654,CMS_29D,No
8599,7444927729,IZ0101,1031920654,CMS_29E,No
8599,7444927729,IZ0101,1031920654,CMS_3,Always
8599,7444927729,IZ0101,1031920654,CMS_30,English
8599,7444927729,IZ0101,1031920654,CMS_33,Usually
8599,7444927729,IZ0101,1031920654,CMS_33CL,Usually
8599,7444927729,IZ0101,1031920654,CMS_34,Unchecked
8599,7444927729,IZ0101,1031920654,CMS_37,Usually
8599,7444927729,IZ0101,1031920654,CMS_37CL,Usually
8599,7444927729,IZ0101,1031920654,CMS_38,Agree
8599,7444927729,IZ0101,1031920654,CMS_39,Agree
8599,7444927729,IZ0101,1031920654,CMS_40,Agree
8599,7444927729,IZ0101,1031920654,CMS_41,Yes
8599,7444927729,IZ0101,1031920654,CMS_6,Always
8599,7444927729,IZ0101,1031920654,CMS_7,Always
8599,7444927729,IZ0101,1031920654,CMS_8,Always
8599,7458169026,IZ0101,1032018018,I1,3
8599,7458169026,IZ0101,1032018018,I4,4
8599,7458169026,IZ0101,1032018018,I5,3
8599,7458169026,IZ0101,1032018018,I6,4
8599,7458169026,IZ0101,1032018018,M2,5
8599,7458169026,IZ0101,1032018018,M3,4
8599,7458169026,IZ0101,1032018018,N3,4
8599,7458169026,IZ0101,1032018018,N4,4
8599,7458169026,IZ0101,1032018018,N5,3
8599,7458169026,IZ0101,1032018018,O2,4
8599,7458169026,IZ0101,1032018018,O3,4
8599,7458169026,IZ0101,1032018018,O4,4
8599,7458169026,IZ0101,1032018018,P1,3
8599,7458169026,IZ0101,1032018018,P2,5
8599,7458169026,IZ0101,1032018018,P3,4
8599,7458169026,IZ0101,1032018018,R3,5
8599,7458169026,IZ0101,1032018018,CMS_1,Always
8599,7458169026,IZ0101,1032018018,CMS_10,Always
8599,7458169026,IZ0101,1032018018,CMS_11,Usually
8599,7458169026,IZ0101,1032018018,CMS_12,No
8599,7458169026,IZ0101,1032018018,CMS_18,Yes
8599,7458169026,IZ0101,1032018018,CMS_19,Usually
8599,7458169026,IZ0101,1032018018,CMS_19CL,Usually
8599,7458169026,IZ0101,1032018018,CMS_2,Usually
8599,7458169026,IZ0101,1032018018,CMS_20,Own home
8599,7458169026,IZ0101,1032018018,CMS_21,No
8599,7458169026,IZ0101,1032018018,CMS_21CL,No
8599,7458169026,IZ0101,1032018018,CMS_22,Yes
8599,7458169026,IZ0101,1032018018,CMS_22CL,Yes
8599,7458169026,IZ0101,1032018018,CMS_23,9
8599,7458169026,IZ0101,1032018018,CMS_24,Probably yes
8599,7458169026,IZ0101,1032018018,CMS_25,Very Good
8599,7458169026,IZ0101,1032018018,CMS_26,Good
8599,7458169026,IZ0101,1032018018,CMS_27,High school grad
8599,7458169026,IZ0101,1032018018,CMS_28,Not Span/Hisp/La
8599,7458169026,IZ0101,1032018018,CMS_29A,Yes
8599,7458169026,IZ0101,1032018018,CMS_29B,No
8599,7458169026,IZ0101,1032018018,CMS_29C,No
8599,7458169026,IZ0101,1032018018,CMS_29D,No
8599,7458169026,IZ0101,1032018018,CMS_29E,No
8599,7458169026,IZ0101,1032018018,CMS_3,Always
8599,7458169026,IZ0101,1032018018,CMS_30,English
8599,7458169026,IZ0101,1032018018,CMS_33,Always
8599,7458169026,IZ0101,1032018018,CMS_33CL,Always
